Słowo,Wartość,Ranga
de,442,1
în,313,2
și,238,3
a,205,4
i,179,5
din,166,6
la,150,7
o,138,8
cu,114,9
să,101,10
se,100,11
mai,97,12
pe,87,13
un,85,14
care,77,15
fost,59,16
al,58,17
ca,54,18
au,53,19
nu,50,20
că,49,21
îi,45,22
pentru,40,23
ce,36,24
este,34,25
sunt,27,26
ale,24,27
lor,23,28
prin,22,29
româniei,22,30
sau,22,31
lui,22,32
iar,22,33
era,21,34
ei,21,35
tsher,21,36
cele,20,37
până,20,38
româncua,20,39
mare,19,40
e,19,41
va,19,42
tefan,19,43
când,18,44
cel,18,45
castelul,18,46
dar,17,47
după,17,48
cea,17,49
bran,17,50
trei,16,51
îl,16,52
bucurești,16,53
spre,16,54
precum,15,55
unde,15,56
erau,15,57
parte,15,58
secolului,15,59
am,15,60
porni,15,61
anul,14,62
sub,14,63
însă,14,64
perioadă,14,65
românească,14,66
alex,14,67
doar,13,68
dintre,13,69
timpul,13,70
merse,13,71
zări,13,72
îhr,12,73
s-a,12,74
el,12,75
clădiri,12,76
cum,12,77
aa,12,78
spuse,12,79
miruna,12,80
timp,11,81
statului,11,82
național,11,83
peste,11,84
s-au,11,85
ea,11,86
fiind,11,87
secolul,11,88
împăratul,11,89
ion,11,90
bucătăria,11,91
puiul,11,92
drept,10,93
românia,10,94
ani,10,95
tot,10,96
dacia,10,97
cei,10,98
limba,10,99
între,10,100
ai,10,101
român,10,102
această,10,103
palatul,10,104
mult,10,105
cât,10,106
cartea,10,107
putea,10,108
zi,10,109
întrun,10,110
lângă,9,111
într-o,9,112
unei,9,113
nicolae,9,114
începutul,9,115
prima,9,116
dac,9,117
avea,9,118
perioada,9,119
multe,9,120
casa,9,121
odată,9,122
le,9,123
dacă,9,124
auzi,9,125
vor,9,126
nimic,9,127
fata,9,128
românești,8,129
vechi,8,130
unor,8,131
aceasta,8,132
unui,8,133
acestei,8,134
sec,8,135
imperiului,8,136
roman,8,137
regele,8,138
foarte,8,139
toate,8,140
numai,8,141
stilul,8,142
anii,8,143
face,8,144
împărat,8,145
bufniă,8,146
te,8,147
deodată,8,148
istoria,7,149
mod,7,150
teritoriul,7,151
culturii,7,152
europa,7,153
găsit,7,154
unul,7,155
printre,7,156
jumătate,7,157
atunci,7,158
regelui,7,159
către,7,160
săi,7,161
fie,7,162
transilvania,7,163
rămas,7,164
latină,7,165
alte,7,166
alături,7,167
prezent,7,168
despre,7,169
bine,7,170
țara,7,171
găsi,7,172
române,7,173
loc,7,174
case,7,175
art,7,176
mari,7,177
spațiul,7,178
apărut,7,179
fel,7,180
comuniste,7,181
asemenea,7,182
pui,7,183
legume,7,184
fi,7,185
carte,7,186
rubinul,7,187
nevoie,7,188
dădu,7,189
istoric,6,190
sa,6,191
acum,6,192
europei,6,193
înainte,6,194
sfârșitul,6,195
românesc,6,196
nou,6,197
cetate,6,198
dacilor,6,199
război,6,200
pod,6,201
orașe,6,202
noi,6,203
urma,6,204
două,6,205
rom,6,206
română,6,207
construite,6,208
cunoscut,6,209
xix-lea,6,210
nr,6,211
biblioteca,6,212
arhitecți,6,213
comunist,6,214
intră,6,215
ales,6,216
mâncare,6,217
carne,6,218
grâu,6,219
mic,6,220
argint,6,221
ajunse,6,222
toi,6,223
doi,6,224
